Target,CHK1_5DLS,Ancestor,CC(N)C/N=C/n1c2c3c(cc-2cn(CCC(=O)O)c1=O)CNC=N3,,
CC(C)CC(=O)Nc1ccccc1O,5,-9.44,0.72,1.67,193.11
Cc1ccc(NNC(=O)C(C)C)cc1C,8,-9.91,0.75,1.97,206.14
CC(C)(N)OCCC(=O)Nc1ccccc1,33,-9.98,0.75,2.11,222.14
CC(C)C[C@@H](C)C(=O)Nc1ccc(F)cc1,10,-9.25,0.83,2.13,223.14
Cc1cc(NC(=O)N[C@H](C)C(C)C)ccc1F,12,-9.44,0.83,2.32,238.15
CC[C@@H](C(=O)Nc1ccc(F)cc1)C(C)C,12,-9.57,0.83,2.25,223.14
CCC[C@H](O)CC(=O)c1ccc(Cl)cc1Br,33,-9.03,0.84,2.64,303.99
CC(C)OC(=O)NNCc1ccccc1Cl,4,-9.23,0.8,2.2,242.08
Cc1cc(C)cc(NC(=O)N[C@H](C)C(C)C)c1,13,-9.64,0.83,2.35,234.17
CCOC(=O)OCc1ccccc1Br,1,-7.86,0.78,1.89,257.99
CCC[C@H](C)CC(=O)Nc1ccc(Cl)cc1,8,-8.65,0.82,2.12,239.11
CC(=O)COc1ccccc1Br,2,-8.05,0.79,1.77,227.98
CCC[C@@H](O)CC(=O)c1ccc(Cl)cc1Br,29,-8.75,0.84,2.64,303.99
CC(C)CNNC(=O)CCc1ccccc1,5,-9.19,0.72,1.9,220.16
CC(C)NC(=O)Oc1ccccc1F,3,-8.91,0.79,1.84,197.09
CC[C@H](CCNC)CC(=O)Nc1ccccc1,11,-9.99,0.76,2.37,234.17
CC(C)NC(=O)c1ccccn1,2,-9.74,0.71,1.68,164.09
CC(C)[C@@H](C)CC(=O)Nc1cccc(F)c1,11,-9.28,0.83,2.28,223.14
CCC[C@H](O)CC(=O)c1ccc(Br)cc1O,36,-9.44,0.82,2.71,286.02
CCC[C@@H](O)CC(=O)c1ccc(Br)cc1O,37,-9.42,0.82,2.71,286.02
CCC[C@@H](O)CC(=O)c1ccc(Br)cc1C,36,-8.84,0.84,2.59,284.04
CCCC(CC)C(=O)Nc1ccccc1,6,-9.34,0.78,2.06,205.15
CC(C)NC(=O)C=Cc1cccc(F)c1,4,-9.05,0.76,1.93,207.11
CC(C)C(=O)NCc1cc(F)c(F)cn1,9,-9.72,0.83,2.37,214.09
CC(C)C(=O)NCOc1c(F)cccc1F,9,-9.38,0.8,2.33,229.09
COc1ccccc1C(=O)NC[C@H](C)O,5,-9.23,0.77,2.06,209.11
CCO[C](O)CC(=O)c1ccccc1Cl,8,-9.63,0.79,2.34,227.05
CCC[C@@H](O)CC(=O)Nc1ccc(F)cc1,8,-8.99,0.81,2.19,225.12
CCC[C@@H](O)C(=O)Nc1ccccc1F,3,-9.68,0.8,2.3,211.1
CC[C@@H](C)NC(=O)CCCc1c(F)cccc1Cl,3,-8.24,0.84,2.37,271.11
CC(C)OC(=O)NC=Cc1ccccc1Cl,5,-8.54,0.88,2.4,239.07
CCNC(=O)Nc1ccc(CC(C)CN)cc1,9,-9.77,0.73,2.33,235.17
Cc1ccccc1NC(=O)CN(C)O,7,-9.6,0.71,1.97,194.11
CCO[C@@H](C)CC(=O)Nc1ccc(F)cc1,7,-8.71,0.84,2.31,225.12
C[C@H](Cl)CC(=O)Nc1ccccc1,8,-9.64,0.74,2.17,197.06
CCOC[C@@H](O)CC(=O)c1ccc(Cl)cc1,11,-9.01,0.78,2.4,242.07
CCC[C@H](O)CC(=O)c1ccccc1Cl,4,-9.28,0.78,2.37,226.08
CCO[C@H](C)C(=O)Nc1ccccc1F,3,-8.37,0.83,2.12,211.1
C[C@@H](N)C(=O)NCc1ccccc1,9,-9.45,0.71,1.92,178.11
CCCc1cc(Br)ccc1C(=O)CC(O)CC(C)=O,24,-8.6,0.78,2.85,326.05
CCC[C@H](O)CC(=O)c1ccccc1Cl,4,-9.28,0.78,2.37,226.08
CN(C)[CH]NC(=O)Cc1ccccc1Br,0,-8.32,0.9,2.72,269.03
CC(C)C(=O)NNCCc1ccccc1Cl,7,-9.45,0.61,2.09,240.1
CC(C)(O)CCC(=O)c1ccccc1F,1,-8.58,0.78,2.08,210.11
C[C@H](O)CC(=O)c1ccccc1Br,3,-8.61,0.83,2.45,241.99
CCCOSc1cc(Cl)ccc1C(=O)NC(=O)CC,38,-9.06,0.65,2.51,301.05
CC(C)(C)CN(O)Cc1ccccc1,9,-9.7,0.75,2.22,193.15
CN(C)NC(=O)c1ccccc1,5,-9.33,0.66,1.69,164.09
CC(C)C(=O)C[C@H](O)CCCc1cccc(Cl)c1,23,-8.48,0.82,2.57,268.12
CNC[C@@H](C)CNC(=O)c1ccccc1,4,-9.18,0.76,2.23,206.14
C[C@H](O)[C@@H](O)CC(=O)c1ccc(Br)cc1Br,30,-8.41,0.82,3.14,349.92
CC[C@H](O)CC(=O)c1ccccc1Cl,6,-9.32,0.78,2.37,212.06
CCO[C@@H](O)NC(=O)c1cc(Cl)ccc1F,6,-9.59,0.79,2.76,247.04
Cc1cc(C(=O)NCN(C)O)ccc1Cl,67,-10.4,0.61,2.36,228.07
CC[C@@H](O)CNC(=O)c1ccccc1O,14,-9.84,0.69,2.29,209.11
Cc1ccccc1C=CNC(=O)NC(C)C,3,-8.91,0.8,2.39,218.14
CC[C@@H](O)NC(=O)c1ccccc1OC,6,-9.64,0.73,2.35,209.11
CC[C@@H](CO)NC(=O)c1ccccc1O,9,-9.65,0.69,2.29,209.11
C[C](CN)CCC(=O)Nc1ccccc1O,8,-9.94,0.66,2.39,221.13
CC[C@H](CO)CC(=O)c1ccc(Cl)cc1F,39,-8.88,0.81,2.67,244.07
CCC[C@@H](O)CC(=O)c1c(F)cccc1Cl,6,-8.74,0.81,2.63,244.07
CCO[C@H](C)[C@H](C)CC(=O)Nc1ccccc1,38,-9.02,0.82,2.71,235.16
CC(C)[C@@H](O)COc1ccccc1,3,-8.9,0.77,2.17,180.12
CN(Cc1ccccc1Cl)C(O)O,3,-8.9,0.72,2.22,201.06
CO[C@@H](C)CC(=O)c1ccc(Br)cc1F,34,-8.29,0.79,2.71,274
CCC[C@@H](O)CC(=O)NC=Cc1ccccc1Cl,23,-8.89,0.83,2.95,267.1
CC(C)C(O)C(=O)Nc1ccccc1O,9,-9.7,0.66,2.36,209.11
CCC[C@@H](C)C(=O)Nc1ccc(C)cc1N,8,-8.53,0.77,2.35,220.16
CN(O)CNC(=O)c1ccccc1,15,-10.73,0.53,2.14,180.09
CN(O)CC(=O)c1ccccc1,12,-10.68,0.54,2.05,165.08
C[C@@H](NO)C(=O)NCc1ccccc1,24,-10.32,0.62,2.34,194.11
CC(C)CN(O)c1ccccc1,2,-9.93,0.7,2.24,165.12
CCO[C@@H](O)CC(=O)c1ccc(Cl)cc1Br,26,-9.18,0.67,2.95,305.97
CC(C)NN(O)OCc1ccccc1,2,-10.36,0.7,2.66,196.12
CCO[C@@H](O)CC(=O)Nc1ccc(F)cc1,8,-8.72,0.75,2.52,227.1
C[C@@H]([CH]C(=O)Nc1ccc(F)cc1)CN,27,-10.03,0.79,2.9,209.11
CC(O)[C@H](O)CC(=O)c1ccc(Cl)cc1F,35,-9.26,0.8,2.99,246.05
CCCC(=O)CC(=O)c1cccc(C)c1,5,-8.76,0.55,1.9,204.12
CC(C)OC(=O)CC=Cc1ccccc1O,1,-7.61,0.79,2.33,220.11
C[C@@H](NC(=O)c1ccccc1)N(C)O,22,-11.02,0.56,2.57,194.11
Cc1ccc(C(=O)C[CH]OC(N)=O)cc1Cl,39,-8.48,0.82,2.82,240.04
Cc1cc(NC(=O)NC[C@@H](C)CN)cc(F)n1,36,-10.17,0.69,2.97,240.14
CCCC(O)CC(=O)C/C=C/c1ccccc1Cl,0,-8.09,0.81,2.89,266.11
CCCC(O)CC(=O)C/C=C/c1ccccc1Cl,0,-8.09,0.81,2.89,266.11
COc1ccccc1C(=O)NC[C@H](N)O,8,-9.54,0.6,2.36,210.1
CC[C@@](C)(O)CC(=O)NC=Cc1ccccc1Cl,8,-8.51,0.86,3.15,267.1
C[C@@H](O)[C@H](O)CCC(=O)c1c(F)cccc1F,9,-9.2,0.77,3.02,244.09
CCO[C@@H](C)CC(=O)Nc1ccc(C)nc1,7,-7.89,0.83,2.62,222.14
CCOC(=O)/C=C/Cc1ccccc1Br,1,-7.18,0.62,2.17,268.01
C[C@H](O)C(N)C(=O)NCCc1ccccc1F,9,-8.74,0.69,2.62,240.13
CN(O)CC(=O)Nc1ccccc1O,10,-10.04,0.49,2.18,196.08
CCCc1cc(Cl)ccc1C(=O)CC(=O)NN(C)C,34,-8.79,0.5,2.42,282.11
CCC[C@H](O)CC(=O)C/C=C/c1ccccc1Cl,4,-7.83,0.81,2.89,266.11
COc1cc(Br)ccc1C(=O)C[C@@H](O)OC,33,-8.49,0.67,2.82,288
Cc1cccc(Cl)c1C=CC(=O)CC[C@H](C)O,29,-8.12,0.82,2.88,252.09
CC[C@@H](O)CC(=O)Oc1ccc(Cl)cc1F,38,-8.62,0.66,2.57,246.05
CCO[C@H](O)CC(=O)c1ccc(Br)cc1C,39,-8.6,0.67,2.9,286.02
NC(O)CCC(=O)Nc1ccccc1F,3,-8.8,0.65,2.39,212.1
CN(N)N(C)C(=O)CCCc1ccccc1F,1,-8.83,0.62,2.52,239.14
C[C@@H](C(=O)CCc1ccccc1)[C@@H]1CCCO1,21,-8.7,0.78,2.88,232.15
CC(c1ccc(Br)cc1)C(O)C[C@H](C)O,8,-7.8,0.89,3.16,272.04
CC(O)[C@H](C)C(=O)[C@@H](C)Cc1ccccc1Cl,19,-8.46,0.88,3.21,254.11
CCC[C@@H](CO)C(=O)c1c(F)cccc1Cl,7,-7.78,0.81,2.78,244.07
NC(=O)[CH]CC(=O)c1ccccc1,4,-8.85,0.69,2.33,176.07
C[C@@H](O)CCC(=O)C=Cc1cc(Cl)ccc1O,22,-7.92,0.79,2.87,254.07
C[CH][C@@H](CO)C(=O)CCCc1ccccc1Cl,7,-8.32,0.81,3.04,253.1
CCO[C@@H](O)CC(=O)c1ccc(Cl)cc1C,31,-9.4,0.64,2.82,242.07
CNC(C)[C@H](C)CN(O)Cc1ccc(F)cc1,53,-10.07,0.75,3.31,240.16
CC[CH]C[C@@H](C)C(=O)Nc1ccc(C)cc1C,7,-8.06,0.82,2.85,232.17
CCC[C@H](C)CC(=O)c1ccccc1Cl,2,-7.69,0.68,2.31,224.1
Cc1ccc(NC(=O)NC[C@H](C)NN)cc1C,43,-10.2,0.47,2.6,236.16
CC(O)(O)CC(=O)c1ccccc1F,5,-9.24,0.56,2.31,198.07
C[CH]C[C@@H](O)CC(=O)c1ccccc1F,2,-9.41,0.76,2.96,209.1
CC[C@H](C)CC(=O)c1ccccc1OC,2,-7.7,0.69,2.24,206.13
Cc1ccc(F)cc1C=CC(=O)CC[C@H](C)O,22,-7.96,0.8,2.82,236.12
CO[C@H](O)CC(=O)c1ccc(Cl)cc1Cl,33,-8.74,0.66,2.77,248
CO[C@H](CC(=O)c1ccccc1)C(C)C,3,-8.04,0.69,2.39,206.13
C[CH]C[CH]C(=O)CC(=O)c1ccc(Br)cc1,12,-8.95,0.59,2.89,280.01
C[C@H](O)[CH]C(=O)C=Cc1c(Cl)cccc1Cl,24,-8.38,0.84,3.29,257.01
CC[C@@H](O)CCCN(O)c1ccccc1,1,-9.31,0.71,2.87,209.14
CN(C)C(Cl)CC(=O)CCCc1ccccc1Br,0,-8.18,0.56,2.98,331.03
CN(O)CCCOC(=O)c1ccccc1F,2,-8.33,0.47,2.1,227.1
C[C@@H](O)OC(=O)c1ccccc1Cl,2,-8.45,0.59,2.29,200.02
CCN(C)CN(O)CNCc1ccccc1F,2,-9.69,0.56,2.85,241.16
O=C(C=Cc1ccccc1)C[C@@H]1C[C@H](O)O1,12,-8.84,0.78,3.05,218.09
C[C@@H](Br)C[C@@H](O)Oc1ccccc1,4,-9.25,0.65,2.99,244.01
CO[C@@H](O)CC(=O)c1ccccc1Cl,5,-8.99,0.62,2.65,214.04
CCC[C@@H](O)[CH]C(=O)COc1ccccc1,27,-8.24,0.77,2.88,221.12
C=C(O)[CH]CC(=O)C=Cc1cc(Br)ccc1O,24,-8.43,0.65,3.12,295
CC(=O)[CH]N(O)C(=O)c1ccccc1,2,-9.69,0.58,2.63,192.07
C[CH]C[C@@H](O)CC(=O)c1ccccc1C,12,-8.79,0.75,2.92,205.12
CC(CC(=O)CC=Cc1ccccc1Cl)[C@H](C)O,2,-7.71,0.85,3.33,266.11
[CH]C[C@@H](O)CCC(=O)c1ccc(Cl)cc1,12,-8.1,0.78,2.96,224.06
C[C@@H](O)[C@H](O)C(O)c1ccc(Cl)cc1,14,-8.94,0.71,2.99,216.06
C[C@@H](CN(C)O)c1ccccc1,4,-8.92,0.69,2.59,165.12
CC(=O)C[C@@H](O)OCCCc1ccccc1Cl,14,-8.16,0.6,2.76,256.09
C[C@@H](Cl)CSC(=O)NC=Cc1ccccc1,6,-8.06,0.83,3.37,255.05
C[C@@H](CC(N)=O)ONN(O)Cc1ccc(F)cc1,36,-10.02,0.63,3.41,257.12
C[CH]C[C@H](CO)CC(=O)c1ccccc1C,12,-8.45,0.75,3.03,219.14
CC(=O)[C@@H](C)[C@H](C)CCC=Cc1ccccc1O,5,-7.76,0.82,3.23,246.16
CCOC(=O)CC(=O)c1cccc(N)c1,4,-8.5,0.35,1.92,207.09
C[C@H](Cl)C(=O)c1ccccc1,1,-8.67,0.49,2.13,168.03
C[C@@H](O)N[C@H](O)COc1ccccc1Cl,12,-8.87,0.66,3.13,231.07
C[C@@H](OCCl)C(=O)C=Cc1c(F)cccc1Cl,18,-8.56,0.61,3.18,276.01
CC[C@H](O)CCC(=O)C[CH]c1ccccc1,3,-8,0.77,3.07,219.14
COc1cccc(C)c1C=CCC(=O)C[C@@H]1C[C@@H](C)O1,2,-7.71,0.8,3.43,274.16
CC[CH][C@@H](O)CC(=O)C=Cc1ccccc1,25,-8.46,0.74,3.18,217.12
Cc1ccc(O)c(OC2C[C@@H](CCl)O2)c1,9,-7.93,0.81,3.32,228.06
CC(C)OOCC(=O)c1ccccc1F,2,-8.63,0.43,2.39,212.08
O=C(O[CH]Cc1ccccc1F)[C@@H]1CCOC1,21,-8.16,0.75,3.31,237.09
CN[C@@](C)(O)C[C@@H](O)c1ccc(Cl)cc1C,11,-8.6,0.71,3.42,243.1
C[C@@H](O)[C@@H](C)CC(=O)OC=Cc1ccccc1Cl,14,-8.17,0.66,3.34,268.09
Cc1cccc(O)c1C=CC(=O)C[CH][C@H](C)O,20,-8.66,0.77,3.56,233.12
C[C@H](O)C[C@@H](O)OCc1ccccc1F,22,-7.88,0.73,3.12,214.1
C[C@@H](O)C[C@@H](O)OCc1ccccc1F,15,-7.84,0.73,3.12,214.1
CCCCC(C=Cc1ccccc1Cl)CC=O,1,-7.32,0.64,2.96,250.11
CN(C)C(Cl)NC(=O)CCCc1ccccc1Cl,0,-7.24,0.5,2.81,288.08
C[CH]C[C@@H](O)CC(=O)c1ccccc1[CH]C,16,-8.89,0.75,3.57,218.13
CC[C@@H]([CH]C(=O)Oc1ccccc1)CO,26,-8.64,0.59,2.99,207.1
C[C@@H](O)[CH][CH]C(=O)c1ccccc1,19,-8.58,0.71,3.11,176.08
CCC(O)(O)C[C@@H](O)c1ccc(O)cc1C,10,-9.06,0.58,3.24,226.12
O=C([CH][C@@H]1CCCO1)NOc1ccccc1,22,-7.89,0.78,3.39,220.1
[CH]C(CC(=O)/C=C/Cc1ccccc1Cl)OCC,2,-7.93,0.7,3.52,264.09
CCO[C@@H](C)[CH]C(=O)NN=Cc1ccccc1Cl,6,-7.34,0.64,3.22,267.09
CC(C)[CH][C@H](O)[CH][C@@H](O)c1ccccc1Cl,6,-8.31,0.83,3.85,240.09
CC[C@@H]([CH]OC)CC(=O)Oc1ccccn1,24,-8.67,0.69,3.47,222.11
CC[C@@H]([CH]C(=O)Oc1ccccc1)COC,25,-8.44,0.55,3.03,221.12
O=C(OCc1ccccc1O)O[C@]1(O)CCC1O,23,-9.09,0.55,3.48,254.08
C[CH]O[C@H](F)CC(=O)CC=Cc1ccccc1,6,-7.88,0.72,3.53,235.11
CC(Cl)[C@@H](O)OC(=O)C=Cc1cccc(Cl)c1,26,-8.83,0.4,3.24,274.02
CCO[C@H](O)CC(=O)OC=Cc1ccccc1Cl,17,-8.04,0.49,3.23,270.07
C[CH]C(=O)N[SH](C)CCCc1ccccc1F,9,-8.21,0.75,3.9,256.12
[CH]c1cc(Br)ccc1[C@H](O)C[C@](C)(O)CC=O,10,-7.85,0.82,4.25,298.02
C[C@@H](N)C(=O)[CH]COSc1ccccc1F,16,-8.36,0.61,3.55,242.07
CC(C)C(=O)[C@@H](O)CS[CH]Sc1ccccc1Cl,5,-7.37,0.61,3.73,303.03
C[C@@H](Cl)[C@@H](C=O)COc1ccccc1,7,-7.93,0.55,3.12,212.06
CC(C)[C@H](O)C[C@@H](O)CC=C1CC=CC=C1Cl,8,-8.13,0.79,4.14,256.12
CNc1ncccc1C(=O)N[C@@H]1[CH]COO1,24,-8.32,0.72,3.83,222.09
CCO[C@H](F)OC(=O)C=Cc1cccc(F)c1,11,-7.41,0.45,2.99,242.08
O=C(O)[C@H](COO)Cc1ccccc1O,2,-7.24,0.5,2.89,212.07
[CH]C1CC(OC(O)(O)CCc2cccnc2)CO1,25,-8.95,0.75,4.34,251.12
CC=CCSC=Cc1ccccc1NO,2,-8.48,0.45,3.29,221.09
CCO[C@@H](O)OC(=O)C(Cl)c1ccccc1,6,-7.77,0.49,3.31,244.05
CC1(C)C(C(=O)OC=Cc2ccccc2O)C[CH][C@H]1O,16,-8.12,0.66,4.08,275.13
C[C@H]([C@H](O)OC=Cc1ccccc1Cl)[C@@H](C)O,8,-7.45,0.63,3.74,256.09
C=CC=CC(Br)=CC(=O)C[C@@H](O)CCCOC,19,-8.38,0.4,3.83,302.05
Oc1ccccc1COO[C@@H](O)[C@H]1CCOCO1,19,-8.73,0.46,3.85,256.09
C[C@H](O)C[C@@H](O)OOc1ccccc1F,16,-8.31,0.44,3.52,216.08
C[CH][C@@H](O)C[CH]OC=Cc1ccccc1Cl,10,-7.41,0.61,3.89,238.08
O=CC1C[CH][C@@H](O[CH]Oc2ccccc2)C1,18,-8.07,0.71,4.27,218.09
O=C(C[C@@H](O)CCC=CO)C1=CCC=CC1,7,-8.73,0.54,4.09,222.13
CC=C(O)C(S)(C[CH]CO)Cc1ccccc1F,0,-7.02,0.55,3.94,269.1
CC(O)=CC1=C(C(=O)NCC=O)CC1C(C)Cl,36,-9.23,0.45,4.45,257.08
CC[C@@H](O)[CH]C(=O)C1=CC(C)C=CC1,17,-8.82,0.69,4.59,193.12
